scenario,target,profile,method,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
logistic_glm,beta_1,P1,ppi,0.975,0.995,0.995,0.995,0.995,0.995,1.0136537207057565,1.0136537207057565,1.0136537207057565,1.0136537207057565,1.0136537207057565,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,P1,ppi_plus_plus,0.9,0.93,0.93,0.93,0.93,0.93,0.9556140984477712,0.9556140984477712,0.9556140984477712,0.9556140984477712,0.9556140984477712,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,1,200
logistic_glm,beta_1,P1,ppi_plus_plus,0.95,0.97,0.97,0.97,0.97,0.97,0.9556140984477718,0.9556140984477718,0.9556140984477718,0.9556140984477718,0.9556140984477718,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,P1,ppi_plus_plus,0.975,0.99,0.99,0.99,0.99,0.99,0.9556140984477717,0.9556140984477717,0.9556140984477717,0.9556140984477717,0.9556140984477717,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_1,P2,naive_ml,0.9,0.01,0.01,0.01,0.01,0.01,0.004549594703012784,0.004549594703012784,0.004549594703012784,0.004549594703012784,0.004549594703012784,-0.89,-0.89,-0.89,-0.89,-0.89,1,200
logistic_glm,beta_1,P2,naive_ml,0.95,0.02,0.02,0.02,0.02,0.02,0.00454959470301277,0.00454959470301277,0.00454959470301277,0.00454959470301277,0.00454959470301277,-0.9299999999999999,-0.9299999999999999,-0.9299999999999999,-0.9299999999999999,-0.9299999999999999,1,200
logistic_glm,beta_1,P2,naive_ml,0.975,0.03,0.03,0.03,0.03,0.03,0.004549594703012769,0.004549594703012769,0.004549594703012769,0.004549594703012769,0.004549594703012769,-0.945,-0.945,-0.945,-0.945,-0.945,1,200
logistic_glm,beta_1,P2,ppi,0.9,0.94,0.94,0.94,0.94,0.94,1.0245251390250176,1.0245251390250176,1.0245251390250176,1.0245251390250176,1.0245251390250176,0.039999999999999925,0.039999999999999925,0.039999999999999925,0.039999999999999925,0.039999999999999925,1,200
logistic_glm,beta_1,P2,ppi,0.95,0.97,0.97,0.97,0.97,0.97,1.0245251390250174,1.0245251390250174,1.0245251390250174,1.0245251390250174,1.0245251390250174,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,P2,ppi,0.975,0.99,0.99,0.99,0.99,0.99,1.024525139025017,1.024525139025017,1.024525139025017,1.024525139025017,1.024525139025017,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
