seed,scenario,target,profile,scenario_signature,method,confidence_level,n_labeled,n_unlabeled,n_replicates,n_successful_replicates,n_failed_replicates,average_ci_width,empirical_coverage
0,logistic_glm,beta_2,P1,logistic_glm:P1,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,2.2257001724707006,0.9605
0,logistic_glm,beta_2,P1,logistic_glm:P1,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,2.210337974677925,0.9655
0,logistic_glm,beta_2,P2,logistic_glm:P2,naive_ml,0.95,60,600,2000,2000,0,0.008118448645008011,0.1905
0,logistic_glm,beta_2,P2,logistic_glm:P2,ppi,0.95,60,600,2000,2000,0,2.2890104893376373,0.971
0,logistic_glm,beta_2,P2,logistic_glm:P2,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,2.224577905955787,0.9595
0,logistic_glm,beta_2,P2,logistic_glm:P2,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,2.2119898691426663,0.9645
0,logistic_glm,beta_2,P3,logistic_glm:P3,naive_ml,0.95,60,600,2000,2000,0,0.004736312364407927,0.0
0,logistic_glm,beta_2,P3,logistic_glm:P3,ppi,0.95,60,600,2000,2000,0,2.2804967594933787,0.973
0,logistic_glm,beta_2,P3,logistic_glm:P3,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,2.225795777916843,0.9615
0,logistic_glm,beta_2,P3,logistic_glm:P3,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,2.208052907806109,0.966
0,logistic_glm,beta_2,P4,logistic_glm:P4,naive_ml,0.95,60,600,2000,2000,0,0.0635551491853052,0.937
0,logistic_glm,beta_2,P4,logistic_glm:P4,ppi,0.95,60,600,2000,2000,0,2.281582729251664,0.969
0,logistic_glm,beta_2,P4,logistic_glm:P4,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,2.224705591043696,0.96
0,logistic_glm,beta_2,P4,logistic_glm:P4,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,2.2105968670050338,0.963
0,logistic_glm,beta_2,baseline,logistic_glm:baseline,classic,0.95,60,600,2000,2000,0,2.244223460308079,0.9605
0,logistic_glm,beta_2,P1,logistic_glm:P1,naive_ml,0.975,60,600,2000,2000,0,0.007328334000343965,0.977
0,logistic_glm,beta_2,P1,logistic_glm:P1,ppi,0.975,60,600,2000,2000,0,2.5924873914595024,0.989
0,logistic_glm,beta_2,P1,logistic_glm:P1,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,2.5452969935962106,0.984
0,logistic_glm,beta_2,P1,logistic_glm:P1,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,2.5277288789235173,0.984
0,logistic_glm,beta_2,P2,logistic_glm:P2,naive_ml,0.975,60,600,2000,2000,0,0.009284207812171544,0.274
0,logistic_glm,beta_2,P2,logistic_glm:P2,ppi,0.975,60,600,2000,2000,0,2.617698281594561,0.989
0,logistic_glm,beta_2,P2,logistic_glm:P2,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,2.544013576529633,0.984
0,logistic_glm,beta_2,P2,logistic_glm:P2,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,2.529617975247837,0.9845
0,logistic_glm,beta_2,P3,logistic_glm:P3,naive_ml,0.975,60,600,2000,2000,0,0.005416417615890109,0.0
0,logistic_glm,beta_2,P3,logistic_glm:P3,ppi,0.975,60,600,2000,2000,0,2.6079620326402155,0.989
0,logistic_glm,beta_2,P3,logistic_glm:P3,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,2.545406327394909,0.9845
0,logistic_glm,beta_2,P3,logistic_glm:P3,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,2.525115690538602,0.984
0,logistic_glm,beta_2,P4,logistic_glm:P4,naive_ml,0.975,60,600,2000,2000,0,0.07268127672800695,0.97
0,logistic_glm,beta_2,P4,logistic_glm:P4,ppi,0.975,60,600,2000,2000,0,2.609203940959719,0.987
0,logistic_glm,beta_2,P4,logistic_glm:P4,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,2.5441595964088584,0.9835
0,logistic_glm,beta_2,P4,logistic_glm:P4,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,2.5280249465924687,0.984
0,logistic_glm,beta_2,baseline,logistic_glm:baseline,classic,0.975,60,600,2000,2000,0,2.56648011135265,0.984
0,lr,beta_0,P1,lr:P1,naive_ml,0.9,60,600,2000,2000,0,0.0037937525681643563,0.898
0,lr,beta_0,P1,lr:P1,ppi,0.9,60,600,2000,2000,0,0.5990570397565735,0.8965
0,lr,beta_0,P1,lr:P1,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.5902488050482725,0.8795
0,lr,beta_0,P1,lr:P1,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,0.5765524481854887,0.886
0,lr,beta_0,P2,lr:P2,naive_ml,0.9,60,600,2000,2000,0,3.952393967665557e-17,0.0
0,lr,beta_0,P2,lr:P2,ppi,0.9,60,600,2000,2000,0,0.5994887298266037,0.8995
0,lr,beta_0,P2,lr:P2,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.5901555306035718,0.8795
0,lr,beta_0,P2,lr:P2,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,0.5766059911549752,0.886
0,lr,beta_0,P3,lr:P3,naive_ml,0.9,60,600,2000,2000,0,4.912736883966318e-17,0.0
0,lr,beta_0,P3,lr:P3,ppi,0.9,60,600,2000,2000,0,0.5996336701370745,0.8955
0,lr,beta_0,P3,lr:P3,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.5905632150754611,0.88
0,lr,beta_0,P3,lr:P3,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,0.57680489455184,0.885
0,lr,beta_0,P4,lr:P4,naive_ml,0.9,60,600,2000,2000,0,0.03793752568164348,0.898
0,lr,beta_0,P4,lr:P4,ppi,0.9,60,600,2000,2000,0,0.6118093247506381,0.8995
0,lr,beta_0,P4,lr:P4,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.5877246936853551,0.875
0,lr,beta_0,P4,lr:P4,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,0.579132496898064,0.8835
0,lr,beta_0,baseline,lr:baseline,classic,0.9,60,600,2000,2000,0,0.5947616186500074,0.882
0,lr,beta_0,P1,lr:P1,naive_ml,0.95,60,600,2000,2000,0,0.0045205350056828145,0.956
0,lr,beta_0,P1,lr:P1,ppi,0.95,60,600,2000,2000,0,0.7138204903886594,0.9505
0,lr,beta_0,P1,lr:P1,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,0.703324831375132,0.9375
0,lr,beta_0,P1,lr:P1,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,0.687004615563457,0.942
0,lr,beta_0,P2,lr:P2,naive_ml,0.95,60,600,2000,2000,0,5.2124971006151097e-17,0.0
0,lr,beta_0,P2,lr:P2,ppi,0.95,60,600,2000,2000,0,0.7143348808340344,0.9505
0,lr,beta_0,P2,lr:P2,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,0.7032136880190911,0.9365
0,lr,beta_0,P2,lr:P2,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,0.6870684159467241,0.9405
0,lr,beta_0,P3,lr:P3,naive_ml,0.95,60,600,2000,2000,0,5.881406472951767e-17,0.0
0,lr,beta_0,P3,lr:P3,ppi,0.95,60,600,2000,2000,0,0.7145075878663012,0.952
0,lr,beta_0,P3,lr:P3,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,0.7036994740299966,0.937
0,lr,beta_0,P3,lr:P3,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,0.6873054239624339,0.942
0,lr,beta_0,P4,lr:P4,naive_ml,0.95,60,600,2000,2000,0,0.04520535005682809,0.956
0,lr,beta_0,P4,lr:P4,ppi,0.95,60,600,2000,2000,0,0.7290157751844748,0.9495
0,lr,beta_0,P4,lr:P4,ppi_plus_plus_v1,0.95,60,600,2000,2000,0,0.7003171671774031,0.936
0,lr,beta_0,P4,lr:P4,ppi_plus_plus_v2,0.95,60,600,2000,2000,0,0.6900789332243998,0.9395
0,lr,beta_0,baseline,lr:baseline,classic,0.95,60,600,2000,2000,0,0.7087021804494896,0.9395
0,lr,beta_0,P1,lr:P1,naive_ml,0.975,60,600,2000,2000,0,0.005169655958932757,0.981
0,lr,beta_0,P1,lr:P1,ppi,0.975,60,600,2000,2000,0,0.816320711399655,0.9745
0,lr,beta_0,P1,lr:P1,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,0.804317940467898,0.962
0,lr,beta_0,P1,lr:P1,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,0.7856542422959253,0.9695
0,lr,beta_0,P2,lr:P2,naive_ml,0.975,60,600,2000,2000,0,6.267208974009009e-17,0.0
0,lr,beta_0,P2,lr:P2,ppi,0.975,60,600,2000,2000,0,0.8169089651412597,0.976
0,lr,beta_0,P2,lr:P2,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,0.8041908376112371,0.962
0,lr,beta_0,P2,lr:P2,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,0.7857272040208382,0.969
0,lr,beta_0,P3,lr:P3,naive_ml,0.975,60,600,2000,2000,0,6.75848266240564e-17,0.0
0,lr,beta_0,P3,lr:P3,ppi,0.975,60,600,2000,2000,0,0.8171064718384516,0.975
0,lr,beta_0,P3,lr:P3,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,0.8047463794979604,0.962
0,lr,beta_0,P3,lr:P3,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,0.7859982449262153,0.9695
0,lr,beta_0,P4,lr:P4,naive_ml,0.975,60,600,2000,2000,0,0.05169655958932762,0.981
0,lr,beta_0,P4,lr:P4,ppi,0.975,60,600,2000,2000,0,0.8336979453982045,0.974
0,lr,beta_0,P4,lr:P4,ppi_plus_plus_v1,0.975,60,600,2000,2000,0,0.8008783942365977,0.96
0,lr,beta_0,P4,lr:P4,ppi_plus_plus_v2,0.975,60,600,2000,2000,0,0.789170013016776,0.968
0,lr,beta_0,baseline,lr:baseline,classic,0.975,60,600,2000,2000,0,0.8104674437126623,0.9675
0,lr,beta_1,P1,lr:P1,naive_ml,0.9,60,600,2000,2000,0,0.004645608573216491,0.891
0,lr,beta_1,P1,lr:P1,ppi,0.9,60,600,2000,2000,0,0.7366032611794769,0.902
0,lr,beta_1,P1,lr:P1,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.7181166360707172,0.8855
0,lr,beta_1,P1,lr:P1,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,0.6960142859092943,0.8905
0,lr,beta_1,P2,lr:P2,naive_ml,0.9,60,600,2000,2000,0,1.865174681370263e-17,1.0
0,lr,beta_1,P2,lr:P2,ppi,0.9,60,600,2000,2000,0,0.7380415786384951,0.902
0,lr,beta_1,P2,lr:P2,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.7182091235812093,0.8855
0,lr,beta_1,P2,lr:P2,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,0.6965062222019796,0.8905
0,lr,beta_1,P3,lr:P3,naive_ml,0.9,60,600,2000,2000,0,1.5654144647214706e-17,1.0
0,lr,beta_1,P3,lr:P3,ppi,0.9,60,600,2000,2000,0,0.738234920994026,0.9035
0,lr,beta_1,P3,lr:P3,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.7181758607198686,0.886
0,lr,beta_1,P3,lr:P3,ppi_plus_plus_v2,0.9,60,600,2000,2000,0,0.6965207166115731,0.893
0,lr,beta_1,P4,lr:P4,naive_ml,0.9,60,600,2000,2000,0,0.04645608573216493,0.891
0,lr,beta_1,P4,lr:P4,ppi,0.9,60,600,2000,2000,0,0.752663566454599,0.908
0,lr,beta_1,P4,lr:P4,ppi_plus_plus_v1,0.9,60,600,2000,2000,0,0.715750210979248,0.8815
