scenario,target,profile,scenario_signature,method,confidence_level,seed0_average_ci_width,seed0_empirical_coverage,average_ci_width_median_seed1_29,average_ci_width_q25_seed1_29,average_ci_width_q75_seed1_29,average_ci_width_min_seed1_29,average_ci_width_max_seed1_29,empirical_coverage_median_seed1_29,empirical_coverage_q25_seed1_29,empirical_coverage_q75_seed1_29,empirical_coverage_min_seed1_29,empirical_coverage_max_seed1_29
logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.9,0.002815867349970357,0.0,0.0028124838411792063,0.002810391255863929,0.002813336359899613,0.002808066731257744,0.002817997158455612,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.95,0.0033553128988218347,0.0,0.003351281199427199,0.00334878773023012,0.0033522970381381885,0.0033460178883216026,0.0033578507221616455,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.975,0.003837115142272464,0.0,0.003832504515704169,0.0038296529997050976,0.003833666222590394,0.003826485425577327,0.003840017381395685,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.9,1.3432655114462768,0.923,1.3474743236619648,1.344323943783361,1.3492875427036022,1.3374395529366503,1.355939575961605,0.921,0.917,0.9265,0.9125,0.934
logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.95,1.6005995797868904,0.976,1.605614688867289,1.601860779705703,1.6077752726173902,1.593657522045589,1.6157016591334998,0.97,0.9685,0.9735,0.9645,0.9785
logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.975,1.8304358101659597,0.9905,1.8361710579871946,1.8318781106165662,1.8386418882416817,1.822496915737653,1.847706454987494,0.9905,0.9885,0.992,0.9865,0.994
logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.9,1.3093596189233374,0.906,1.3115131563893698,1.3098146945145106,1.313341776445185,1.3066361590209865,1.3206787967332805,0.901,0.8955,0.9055,0.8835,0.9155
logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.95,1.560198216942341,0.955,1.5627643151067205,1.5607404729548708,1.5649432502971037,1.5569530143088188,1.5736858492024905,0.9525,0.948,0.9565,0.945,0.9625
logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.975,1.78423306073126,0.976,1.7871676347695122,1.7848531813636477,1.7896594516179465,1.7805218670094425,1.7996574338193834,0.978,0.9755,0.98,0.9695,0.985
logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.9,1.2780404996078432,0.9065,1.2815658069086528,1.2794730523106541,1.2827985545589136,1.2768059489666703,1.2863522046112823,0.9075,0.902,0.912,0.8945,0.9185
logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.95,1.5228791844885845,0.9605,1.5270798472289073,1.5245861763190198,1.5285487566546196,1.5214081266667039,1.5327831918664672,0.958,0.9535,0.961,0.9505,0.967
logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.975,1.7415552453258651,0.9825,1.7463590973344612,1.743507350657855,1.748038933096426,1.7398729526712815,1.7528814070952148,0.981,0.979,0.9825,0.976,0.985
logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.9,0.03770862417900044,0.8925,0.03772040690620796,0.03769646870793233,0.03774658727509761,0.037607319269696744,0.037794475665943,0.8935,0.8875,0.898,0.873,0.905
logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.95,0.04493259709338113,0.9495,0.04494663707881706,0.04491811295624082,0.04497783291246733,0.04481188484857167,0.04503489544970264,0.945,0.9405,0.9495,0.9345,0.954
logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.975,0.05138464098212127,0.9765,0.05140069702289527,0.05136807701219661,0.05143637238590477,0.0512465952032674,0.05150162875164011,0.972,0.969,0.9735,0.9655,0.978
logistic_glm,beta_0,P4,logistic_glm:P4,ppi,0.9,1.3417229391491459,0.926,1.3441844347911482,1.3415818700525604,1.3464925483894,1.3370204264738546,1.3514509363628173,0.921,0.9175,0.928,0.911,0.9325
logistic_glm,beta_0,P4,logistic_glm:P4,ppi,0.95,1.5987614915239718,0.97,1.6016945444883046,1.5985933973275597,1.6044448314747501,1.593158102061597,1.6103531151603188,0.9695,0.968,0.9725,0.962,0.9785
logistic_glm,beta_0,P4,logistic_glm:P4,ppi,0.975,1.828333783762113,0.991,1.8316880050469548,1.8281415522755655,1.8348332162864152,1.8219257821233743,1.8415898930788215,0.9915,0.99,0.992,0.9875,0.995
logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v1,0.9,1.3103581129887265,0.906,1.3094633568892375,1.3075920010435251,1.3112489992266623,1.3038307447947053,1.3148677793938912,0.9,0.896,0.9055,0.8845,0.9155
logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v1,0.95,1.5613879960052783,0.9565,1.5603218283529046,1.5580919703279958,1.5624495524331992,1.5536101570751173,1.5667615949636204,0.953,0.948,0.9555,0.9435,0.9615
logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v1,0.975,1.7855936847314744,0.9765,1.7843744219781956,1.781824370090183,1.7868076741168937,1.776698996089005,1.7917388993666814,0.9775,0.975,0.98,0.971,0.9825
logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v2,0.9,1.2788661643141597,0.9085,1.281097030808745,1.2793683051223632,1.2826563497008208,1.2755712015065532,1.2854544142110071,0.906,0.9035,0.9125,0.8965,0.92
logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v2,0.95,1.5238630246681402,0.9595,1.5265212660533087,1.5244613623458065,1.5283793091148936,1.5199368343205688,1.5317134086217008,0.957,0.954,0.961,0.9505,0.9655
logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v2,0.975,1.7426803588888562,0.9815,1.7457203073462553,1.7433646141676928,1.7478451539348108,1.7381903918162158,1.7516580095727718,0.981,0.98,0.983,0.974,0.986
logistic_glm,beta_0,baseline,logistic_glm:baseline,classic,0.9,1.3182137251536048,0.9055,1.3212308178109358,1.3198692193911692,1.3234934647949246,1.314906497774623,1.330325552995347,0.9045,0.899,0.9085,0.893,0.9185
logistic_glm,beta_0,baseline,logistic_glm:baseline,classic,0.95,1.570748535245604,0.9575,1.5743436228871448,1.5727211782997217,1.5770397330611288,1.5668077307598558,1.585180668274217,0.9555,0.9525,0.9595,0.948,0.9655
logistic_glm,beta_0,baseline,logistic_glm:baseline,classic,0.975,1.7962983396897352,0.98,1.8004096597493318,1.798554242123127,1.8034929147201118,1.7917916599787889,1.8128028380328922,0.979,0.9785,0.9815,0.9725,0.984
logistic_glm,beta_1,P1,logistic_glm:P1,naive_ml,0.9,0.004662401017697733,0.889,0.004665507422649348,0.004660310341547046,0.004669172821991101,0.004656688884617415,0.004673516776316542,0.899,0.8935,0.904,0.8845,0.9095
