scenario,target,profile,method,method_label,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
lr,beta_0,P2,ppi_plus_plus_v2,PPI++V2,0.975,0.9655,0.9590875,0.9635,0.9688749999999999,0.974,0.9701818497715855,0.9664203590534566,0.9688621133369922,0.9712095295214672,0.9730965631283305,-0.009500000000000008,-0.015912499999999975,-0.011499999999999955,-0.0061249999999999916,-0.0010000000000000009,30,2000
lr,beta_0,P3,naive_ml,Naive ML,0.9,0.0,0.0,0.0,0.0,0.0,8.366281251040475e-17,8.198035785739828e-17,8.305061059297167e-17,8.483664987571252e-17,8.66070002206647e-17,-0.9,-0.9,-0.9,-0.9,-0.9,30,2000
lr,beta_0,P3,naive_ml,Naive ML,0.95,0.0,0.0,0.0,0.0,0.0,8.366281251040466e-17,8.198035785739829e-17,8.305061059297179e-17,8.483664987571257e-17,8.660700022066464e-17,-0.95,-0.95,-0.95,-0.95,-0.95,30,2000
lr,beta_0,P3,naive_ml,Naive ML,0.975,0.0,0.0,0.0,0.0,0.0,8.36628125104047e-17,8.198035785739841e-17,8.305061059297195e-17,8.483664987571273e-17,8.660700022066473e-17,-0.975,-0.975,-0.975,-0.975,-0.975,30,2000
lr,beta_0,P3,ppi,PPI,0.9,0.89575,0.8833875,0.891625,0.8995,0.9135624999999999,1.0083105695937191,1.0013808828784174,1.005999856368347,1.0098737530244368,1.0146137689875325,-0.0042500000000000315,-0.01661250000000003,-0.008375000000000049,-0.000500000000000056,0.013562499999999962,30,2000
lr,beta_0,P3,ppi,PPI,0.95,0.9464999999999999,0.93885,0.9436249999999999,0.952,0.9586375,1.008310569593716,1.00138088287842,1.0059998563683505,1.0098737530244355,1.0146137689875292,-0.003500000000000003,-0.011149999999999953,-0.006374999999999964,0.0020000000000000018,0.008637500000000048,30,2000
lr,beta_0,P3,ppi,PPI,0.975,0.97375,0.969,0.9715,0.976,0.9814125,1.0083105695937145,1.0013808828784196,1.0059998563683485,1.009873753024436,1.0146137689875325,-0.0012499999999999734,-0.006000000000000005,-0.0034999999999999476,0.0010000000000000009,0.006412500000000019,30,2000
lr,beta_0,P3,ppi_plus_plus_v1,PPI++V1,0.9,0.87825,0.8680375,0.8736250000000001,0.8831249999999999,0.8926875,0.9927653966567062,0.9874974092752942,0.9908178636296794,0.9940628213717321,0.9964348846648203,-0.021750000000000047,-0.03196250000000001,-0.026374999999999982,-0.016875000000000057,-0.007312500000000026,30,2000
lr,beta_0,P3,ppi_plus_plus_v1,PPI++V1,0.95,0.9295,0.9205875,0.926,0.936875,0.9450500000000001,0.9927653966567084,0.9874974092752938,0.9908178636296779,0.9940628213717312,0.9964348846648168,-0.020499999999999963,-0.029412499999999932,-0.02399999999999991,-0.013124999999999915,-0.004949999999999952,30,2000
lr,beta_0,P3,ppi_plus_plus_v1,PPI++V1,0.975,0.96075,0.94995,0.9575,0.96425,0.968325,0.9927653966567079,0.9874974092752961,0.9908178636296813,0.9940628213717345,0.9964348846648172,-0.014249999999999985,-0.025049999999999968,-0.01749999999999996,-0.010749999999999954,-0.006674999999999954,30,2000
lr,beta_0,P3,ppi_plus_plus_v2,PPI++V2,0.9,0.88525,0.8684875,0.880625,0.887875,0.901775,0.9699440694213874,0.9664780635200615,0.9687446812438765,0.9712013828646668,0.9733064859878134,-0.01475000000000004,-0.03151250000000001,-0.01937500000000006,-0.012125000000000025,0.0017749999999999446,30,2000
lr,beta_0,P3,ppi_plus_plus_v2,PPI++V2,0.95,0.9375,0.9257625,0.933125,0.942,0.9515,0.9699440694213858,0.9664780635200628,0.968744681243877,0.9712013828646665,0.9733064859878096,-0.012499999999999956,-0.024237499999999926,-0.016874999999999918,-0.008000000000000007,0.0015000000000000568,30,2000
lr,beta_0,P3,ppi_plus_plus_v2,PPI++V2,0.975,0.966,0.9588125,0.963625,0.9688749999999999,0.9736375,0.9699440694213867,0.9664780635200618,0.9687446812438736,0.9712013828646682,0.9733064859878092,-0.009000000000000008,-0.016187499999999973,-0.011374999999999968,-0.0061249999999999916,-0.0013624999999999616,30,2000
