seed,scenario,target,profile,method,confidence_level,n_labeled,n_unlabeled,n_replicates,average_ci_width,empirical_coverage
0,logistic_glm,beta_2,P4,ppi_plus_plus,0.95,60,600,2000,2.2103091087644597,0.964
0,logistic_glm,beta_2,baseline,classic,0.95,60,600,2000,2.244223460308079,0.9605
0,logistic_glm,beta_2,P1,naive_ml,0.975,60,600,2000,0.01851226958069628,0.9765
0,logistic_glm,beta_2,P1,ppi,0.975,60,600,2000,2.5934316009656633,0.9885
0,logistic_glm,beta_2,P1,ppi_plus_plus,0.975,60,600,2000,2.5277341919123035,0.9835
0,logistic_glm,beta_2,P2,naive_ml,0.975,60,600,2000,0.009284207812171564,0.274
0,logistic_glm,beta_2,P2,ppi,0.975,60,600,2000,2.617698281594561,0.989
0,logistic_glm,beta_2,P2,ppi_plus_plus,0.975,60,600,2000,2.5296261540102267,0.9845
0,logistic_glm,beta_2,P3,naive_ml,0.975,60,600,2000,0.005416417615890107,0.0
0,logistic_glm,beta_2,P3,ppi,0.975,60,600,2000,2.6079620326402155,0.989
0,logistic_glm,beta_2,P3,ppi_plus_plus,0.975,60,600,2000,2.5251135803062175,0.984
0,logistic_glm,beta_2,P4,naive_ml,0.975,60,600,2000,0.18519446965089095,0.9765
0,logistic_glm,beta_2,P4,ppi,0.975,60,600,2000,2.6963820943301844,0.9905
0,logistic_glm,beta_2,P4,ppi_plus_plus,0.975,60,600,2000,2.5276958680428714,0.9845
0,logistic_glm,beta_2,baseline,classic,0.975,60,600,2000,2.56648011135265,0.984
0,lr,beta_0,P1,naive_ml,0.9,60,600,2000,0.002192041621369601,0.8785
0,lr,beta_0,P1,ppi,0.9,60,600,2000,0.5990105861994647,0.896
0,lr,beta_0,P1,ppi_plus_plus,0.9,60,600,2000,0.5765241796549186,0.886
0,lr,beta_0,P2,naive_ml,0.9,60,600,2000,4.991512689119127e-17,0.0
0,lr,beta_0,P2,ppi,0.9,60,600,2000,0.5994887298266037,0.8995
0,lr,beta_0,P2,ppi_plus_plus,0.9,60,600,2000,0.5766031695310848,0.8855
0,lr,beta_0,P3,naive_ml,0.9,60,600,2000,4.9264664331750784e-17,0.0
0,lr,beta_0,P3,ppi,0.9,60,600,2000,0.5996336701370745,0.8955
0,lr,beta_0,P3,ppi_plus_plus,0.9,60,600,2000,0.5767889913328276,0.8855
0,lr,beta_0,P4,naive_ml,0.9,60,600,2000,0.021920416213695962,0.8785
0,lr,beta_0,P4,ppi,0.9,60,600,2000,0.6034817220731851,0.8925
0,lr,beta_0,P4,ppi_plus_plus,0.9,60,600,2000,0.5773197958955651,0.8835
0,lr,beta_0,baseline,classic,0.9,60,600,2000,0.5947616186500074,0.882
0,lr,beta_0,P1,naive_ml,0.95,60,600,2000,0.0026119786953079168,0.938
0,lr,beta_0,P1,ppi,0.95,60,600,2000,0.7137651375612724,0.95
0,lr,beta_0,P1,ppi_plus_plus,0.95,60,600,2000,0.6869709315316955,0.942
