scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_1,P1,ppi_plus_plus,0.975,0.979,0.97675,0.9822500000000001,0.9574583106487105,0.9562727889777681,0.9591154403798292,0.0040000000000000036,0.001750000000000057,0.007250000000000062,30,2000
logistic_glm,beta_1,P2,naive_ml,0.9,0.013,0.0115,0.014875,0.004550219450204242,0.004540751948908417,0.004556550339950888,-0.887,-0.8885000000000001,-0.885125,30,2000
logistic_glm,beta_1,P2,naive_ml,0.95,0.02775,0.0255,0.02975,0.004550219450204247,0.004540751948908418,0.004556550339950872,-0.92225,-0.9245,-0.9202499999999999,30,2000
logistic_glm,beta_1,P2,naive_ml,0.975,0.05175,0.048125,0.055375,0.004550219450204245,0.00454075194890842,0.004556550339950881,-0.9232499999999999,-0.9268749999999999,-0.9196249999999999,30,2000
logistic_glm,beta_1,P2,ppi,0.9,0.92,0.917125,0.924375,1.0273131387750718,1.0241797079996955,1.0297052728641016,0.020000000000000018,0.017125,0.02437499999999998,30,2000
logistic_glm,beta_1,P2,ppi,0.95,0.96925,0.968125,0.97175,1.0273131387750734,1.0241797079996948,1.029705272864102,0.019250000000000045,0.01812500000000003,0.02175000000000002,30,2000
logistic_glm,beta_1,P2,ppi,0.975,0.9895,0.988125,0.99,1.0273131387750727,1.0241797079996944,1.0297052728640996,0.014500000000000068,0.013125000000000026,0.015000000000000013,30,2000
logistic_glm,beta_1,P2,ppi_plus_plus,0.9,0.9045,0.901625,0.906875,0.959530389955848,0.9583414260926684,0.9604802049510688,0.0044999999999999485,0.0016249999999999598,0.006874999999999992,30,2000
logistic_glm,beta_1,P2,ppi_plus_plus,0.95,0.9535,0.9512499999999999,0.95625,0.9595303899558465,0.9583414260926664,0.9604802049510692,0.0035000000000000586,0.0012500000000000011,0.006250000000000061,30,2000
logistic_glm,beta_1,P2,ppi_plus_plus,0.975,0.979,0.9775,0.9815,0.9595303899558492,0.9583414260926691,0.9604802049510672,0.0040000000000000036,0.0025000000000000577,0.006500000000000061,30,2000
logistic_glm,beta_1,P3,naive_ml,0.9,0.0,0.0,0.0,0.002640949386983983,0.002638584555448872,0.0026441128545274563,-0.9,-0.9,-0.9,30,2000
logistic_glm,beta_1,P3,naive_ml,0.95,0.0,0.0,0.0,0.0026409493869839857,0.0026385845554488746,0.0026441128545274554,-0.95,-0.95,-0.95,30,2000
logistic_glm,beta_1,P3,naive_ml,0.975,0.0,0.0,0.0,0.0026409493869839792,0.002638584555448871,0.0026441128545274563,-0.975,-0.975,-0.975,30,2000
logistic_glm,beta_1,P3,ppi,0.9,0.92,0.9175,0.924125,1.0291811512330293,1.0267860323287037,1.0334632997943596,0.020000000000000018,0.01749999999999996,0.02412499999999998,30,2000
logistic_glm,beta_1,P3,ppi,0.95,0.9705,0.9695,0.9728749999999999,1.0291811512330278,1.0267860323287048,1.0334632997943545,0.020500000000000074,0.019500000000000073,0.022875000000000034,30,2000
logistic_glm,beta_1,P3,ppi,0.975,0.99,0.9886250000000001,0.991375,1.0291811512330282,1.026786032328703,1.0334632997943587,0.015000000000000013,0.013625000000000054,0.016375000000000056,30,2000
logistic_glm,beta_1,P3,ppi_plus_plus,0.9,0.905,0.902,0.90825,0.9597586282596595,0.9586235826511318,0.9612771736378367,0.0050000000000000044,0.0020000000000000018,0.008249999999999952,30,2000
logistic_glm,beta_1,P3,ppi_plus_plus,0.95,0.95475,0.952125,0.957,0.9597586282596593,0.9586235826511332,0.9612771736378368,0.004750000000000032,0.0021250000000000158,0.007000000000000006,30,2000
logistic_glm,beta_1,P3,ppi_plus_plus,0.975,0.97975,0.978,0.981875,0.9597586282596582,0.9586235826511356,0.9612771736378365,0.004750000000000032,0.0030000000000000027,0.00687500000000002,30,2000
logistic_glm,beta_1,P4,naive_ml,0.9,0.8967499999999999,0.8941250000000001,0.9025,0.07295368757334293,0.07281759433185268,0.07305274415283504,-0.0032500000000000306,-0.005875000000000019,0.0024999999999999467,30,2000
logistic_glm,beta_1,P4,naive_ml,0.95,0.94975,0.9456249999999999,0.9515,0.07295368757334295,0.07281759433185263,0.07305274415283483,-0.00024999999999997247,-0.004374999999999962,0.0015000000000000568,30,2000
logistic_glm,beta_1,P4,naive_ml,0.975,0.97375,0.9715,0.97675,0.07295368757334282,0.07281759433185257,0.07305274415283483,-0.0012499999999999734,-0.0034999999999999476,0.0017500000000000016,30,2000
logistic_glm,beta_1,P4,ppi,0.9,0.92425,0.920625,0.926375,1.0620137532555796,1.0568105820437685,1.0637195999542528,0.024249999999999994,0.020624999999999977,0.026374999999999982,30,2000
logistic_glm,beta_1,P4,ppi,0.95,0.9715,0.9706250000000001,0.973375,1.0620137532555811,1.0568105820437697,1.0637195999542532,0.021500000000000075,0.02062500000000006,0.023375000000000062,30,2000
logistic_glm,beta_1,P4,ppi,0.975,0.9905,0.989625,0.992,1.062013753255581,1.0568105820437723,1.0637195999542508,0.01550000000000007,0.014625000000000055,0.017000000000000015,30,2000
logistic_glm,beta_1,P4,ppi_plus_plus,0.9,0.90575,0.90225,0.907375,0.9642246194477002,0.9627712719719388,0.966015516298275,0.005749999999999977,0.002250000000000002,0.007374999999999965,30,2000
logistic_glm,beta_1,P4,ppi_plus_plus,0.95,0.9532499999999999,0.952,0.956,0.9642246194477,0.9627712719719403,0.9660155162982726,0.0032500000000000306,0.0020000000000000018,0.006000000000000005,30,2000
logistic_glm,beta_1,P4,ppi_plus_plus,0.975,0.979,0.977125,0.981875,0.9642246194476993,0.9627712719719382,0.9660155162982766,0.0040000000000000036,0.0021250000000000158,0.00687500000000002,30,2000
logistic_glm,beta_1,baseline,classic,0.9,0.8987499999999999,0.896625,0.9045,1.0,1.0,1.0,-0.0012500000000000289,-0.0033750000000000446,0.0044999999999999485,30,2000
logistic_glm,beta_1,baseline,classic,0.95,0.95225,0.949,0.9535,1.0,1.0,1.0,0.0022500000000000298,-0.0010000000000000009,0.0035000000000000586,30,2000
logistic_glm,beta_1,baseline,classic,0.975,0.978,0.975625,0.980375,1.0,1.0,1.0,0.0030000000000000027,0.0006250000000000422,0.005375000000000046,30,2000
logistic_glm,beta_2,P1,naive_ml,0.9,0.89825,0.896625,0.903,0.0072027844313195515,0.007192956080507803,0.007209257182277235,-0.0017500000000000293,-0.0033750000000000446,0.0030000000000000027,30,2000
