experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
a_mean,4,dt,DT,Decision Tree Classifier,Brier,0.12369608153827949,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12215474066054434,4794,19176
a_mean,4,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11898203065465636,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12053321522661611,4794,19176
a_mean,4,lin,LIN,Logistic Regression,Brier,0.11728571130348159,"{""model__C"": 10.0}",0.11735311262386035,4794,19176
a_mean,4,rf,RF,Random Forest Classifier,Brier,0.11904805084720894,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11943929765494432,4794,19176
a_mean,5,dt,DT,Decision Tree Classifier,Brier,0.12089280848385328,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.1274279001863705,4794,19176
a_mean,5,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11684786475442085,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12602827870210082,4794,19176
a_mean,5,lin,LIN,Logistic Regression,Brier,0.11687118397543905,"{""model__C"": 1.0}",0.1260826932381447,4794,19176
a_mean,5,rf,RF,Random Forest Classifier,Brier,0.11723844493132533,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12486553501929236,4794,19176
a_mean,6,dt,DT,Decision Tree Classifier,Brier,0.12160164104307526,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12154025668296596,4794,19176
a_mean,6,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11627391225875514,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11782964461522735,4794,19176
a_mean,6,lin,LIN,Logistic Regression,Brier,0.11674330573586963,"{""model__C"": 10.0}",0.11643340391027086,4794,19176
