experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
b_lr,20,rf,RF,Random Forest Regressor,MSE,4029705395.1513057,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4601080306.679913,6364,25458
b_lr,21,dt,DT,Decision Tree Regressor,MSE,4365298635.892456,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4013018152.2084846,6364,25458
b_lr,21,gb,GB,Histogram Gradient Boosting Regressor,MSE,4024599959.120872,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3812601658.720269,6364,25458
b_lr,21,lin,LIN,Ridge Regression,MSE,4428256662.412909,"{""model__alpha"": 10.0}",4296965438.491085,6364,25458
b_lr,21,rf,RF,Random Forest Regressor,MSE,4075324963.0204773,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3863013325.287795,6364,25458
b_lr,22,dt,DT,Decision Tree Regressor,MSE,4235765122.4461546,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4889597689.946448,6364,25458
b_lr,22,gb,GB,Histogram Gradient Boosting Regressor,MSE,3913388003.007483,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4506644046.599168,6364,25458
b_lr,22,lin,LIN,Ridge Regression,MSE,4345308212.6914425,"{""model__alpha"": 10.0}",4868566069.470848,6364,25458
b_lr,22,rf,RF,Random Forest Regressor,MSE,3990678114.6090508,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4630413737.623281,6364,25458
b_lr,23,dt,DT,Decision Tree Regressor,MSE,4539466159.968,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",3724859594.3992085,6364,25458
b_lr,23,gb,GB,Histogram Gradient Boosting Regressor,MSE,4209277822.243185,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3602626970.161959,6364,25458
b_lr,23,lin,LIN,Ridge Regression,MSE,4646650384.508254,"{""model__alpha"": 10.0}",3788752426.3228617,6364,25458
b_lr,23,rf,RF,Random Forest Regressor,MSE,4247403554.2800274,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3573766957.652429,6364,25458
b_lr,24,dt,DT,Decision Tree Regressor,MSE,4688353477.742383,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",3422666583.8324976,6364,25458
b_lr,24,gb,GB,Histogram Gradient Boosting Regressor,MSE,4295256478.750435,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3272302955.3486257,6364,25458
b_lr,24,lin,LIN,Ridge Regression,MSE,4746906181.385151,"{""model__alpha"": 10.0}",3650608810.263402,6364,25458
b_lr,24,rf,RF,Random Forest Regressor,MSE,4400469473.587939,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3229912112.3974123,6364,25458
b_lr,25,dt,DT,Decision Tree Regressor,MSE,4453333216.616665,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",5451787968.066838,6364,25458
b_lr,25,gb,GB,Histogram Gradient Boosting Regressor,MSE,4025501538.380732,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4987656076.087706,6364,25458
b_lr,25,lin,LIN,Ridge Regression,MSE,4438451156.710812,"{""model__alpha"": 10.0}",5322158202.063711,6364,25458
