experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
c_glm,3,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.1090135584591058,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11450244130993549,990,3963
c_glm,3,lin,LIN,Logistic Regression,Brier,0.10810892551569005,"{""model__C"": 0.1}",0.11182807883222376,990,3963
c_glm,3,rf,RF,Random Forest Classifier,Brier,0.10952903627349393,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11683458545416966,990,3963
c_glm,4,dt,DT,Decision Tree Classifier,Brier,0.11198727346507563,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.12467483175294793,990,3963
c_glm,4,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10417306094434116,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.10209965842059479,990,3963
c_glm,4,lin,LIN,Logistic Regression,Brier,0.10584044039242213,"{""model__C"": 0.1}",0.11011837693476423,990,3963
c_glm,4,rf,RF,Random Forest Classifier,Brier,0.10648665733542773,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11500264017811869,990,3963
c_glm,5,dt,DT,Decision Tree Classifier,Brier,0.1300423712459719,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.10497964778162756,990,3963
c_glm,5,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10953267141683223,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.09657290775996573,990,3963
c_glm,5,lin,LIN,Logistic Regression,Brier,0.10979461867117334,"{""model__C"": 1.0}",0.0942451527042878,990,3963
c_glm,5,rf,RF,Random Forest Classifier,Brier,0.11949172083187946,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.10683658654991417,990,3963
c_glm,6,dt,DT,Decision Tree Classifier,Brier,0.11901768607919193,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.11946804826901324,990,3963
