experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,5,gb,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,6.801117706345394e-06,,
b_lr,5,gb,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,5.675246939063072e-10,,
b_lr,5,gb,cross_ppi,fold_tuning,,3652965763.3844805,0.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}"
b_lr,5,gb,cross_ppi,fold_tuning,,3975567084.716051,1.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
b_lr,5,gb,cross_ppi,fold_tuning,,3815215867.2536535,2.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
b_lr,5,gb,cross_ppi,fold_tuning,,3907985443.521566,3.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
b_lr,5,gb,cross_ppi,fold_tuning,,3662260149.2919335,4.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}"
b_lr,5,gb,cross_ppi,cross_oof_quality,,3905062357.064784,,MSE
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.0,2087200.0691654936,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.025,2054061.8781916434,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.05,2022023.8011625549,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.075,1991086.9445315208,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.1,1961252.4205966806,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.125,1932521.3475118736,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.15,1904894.8492921009,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.175,1878374.0558271036,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.2,1852960.1028878023,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.225,1828654.132138227,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.25,1805457.291144597,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.275,1783370.7333849124,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.3,1762395.618258987,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.325,1742533.1110981044,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.35,1723784.3831754206,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.375,1706150.611715349,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.4,1689632.9799029748,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.425,1674232.6768975973,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.45,1659950.8978368086,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.475,1646788.8438522522,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.5,1634747.7220775108,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.525,1623828.7456589174,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.55,1614033.1337635852,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.575,1605362.1115934472,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.6,1597816.9103925163,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.625,1591398.7674601008,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.65,1586108.9261585614,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.675,1581948.6359245675,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.7,1578919.1522822739,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.725,1577021.7368501108,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.75,1576257.6573530184,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.775,1576628.187635181,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.8,1578134.6076674263,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.825,1580778.2035592836,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.85,1584560.2675714055,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.875,1589482.0981244803,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.9,1595544.999810868,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.925,1602750.2834054367,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.95,1611099.2658768292,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,0.975,1620593.2703993805,,
b_lr,6,lin,ppi_plus_plus_v2,lambda_grid,1.0,1631233.6263619843,,
b_lr,6,lin,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.683873263886198e-06,,
b_lr,6,lin,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,9.640643838793039e-11,,
b_lr,6,lin,cross_ppi,fold_tuning,,4756244647.938025,0.0,"{""model__alpha"": 10.0}"
b_lr,6,lin,cross_ppi,fold_tuning,,4369174179.660647,1.0,"{""model__alpha"": 10.0}"
b_lr,6,lin,cross_ppi,fold_tuning,,4406348240.470763,2.0,"{""model__alpha"": 10.0}"
b_lr,6,lin,cross_ppi,fold_tuning,,4385467595.7731285,3.0,"{""model__alpha"": 10.0}"
b_lr,6,lin,cross_ppi,fold_tuning,,4046835739.6668234,4.0,"{""model__alpha"": 10.0}"
b_lr,6,lin,cross_ppi,cross_oof_quality,,4408684201.822692,,MSE
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.0,2087200.0691654936,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.025,2052451.4552884179,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.05,2018796.3737658379,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.075,1986235.2847000957,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.1,1954768.6540326346,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.125,1924396.9535476211,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.15,1895120.6608695753,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.175,1866940.2594694006,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.2,1839856.2386634536,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.225,1813869.0936176162,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.25,1788979.3253487595,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.275,1765187.4407269252,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.3,1742493.9524779315,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.325,1720899.379184972,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.35,1700404.2452917919,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.375,1681009.081104556,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.4,1662714.4227934496,,
