experiment,replicate,target,parameter,learner,learner_label,learner_model,method,method_label,confidence_level,estimate,truth,ci_low,ci_high,ci_width,covered,quality_metric,quality_value,selected_lambda,lambda_source,backend,package_version,status,warning,tuned_params,validation_score,n_total,n_labelled,n_unlabelled,n_train,n_inference,relative_width_rep
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,ppi,PPI,0.975,24727.40495608595,24977.364721462392,22722.606471379193,26732.203440792706,4009.596969413513,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9943709870026386
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,ppi,PPI,0.9,12099.943779187603,13291.613243404692,10565.994374531776,13633.89318384343,3067.898809311653,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9847520220275202
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,ppi,PPI,0.95,12099.943779187603,13291.613243404692,10272.130326385593,13927.757231989612,3655.6269056040182,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9847520220275209
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,ppi,PPI,0.975,12099.943779187603,13291.613243404692,10009.667584839648,14190.219973535557,4180.552388695909,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9847520220275204
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,ppi_plus_plus_v1,PPI++V1,0.9,560.5289156674625,547.9069413412143,530.2969236494398,590.7609076854851,60.463984036045304,True,MSE,4673816038.135477,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9757748031665004
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,ppi_plus_plus_v1,PPI++V1,0.95,560.5289156674625,547.9069413412143,524.50527528674,596.5525560481849,72.04728076144488,True,MSE,4673816038.135477,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9757748031665008
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,ppi_plus_plus_v1,PPI++V1,0.975,560.5289156674625,547.9069413412143,519.3325026494146,601.7253286855104,82.39282603609581,True,MSE,4673816038.135477,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9757748031665011
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,ppi_plus_plus_v1,PPI++V1,0.9,25048.566088764775,24977.364721462392,23615.837133389963,26481.295044139588,2865.4579107496247,True,MSE,4673816038.135477,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9683545472139692
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,ppi_plus_plus_v1,PPI++V1,0.95,25048.566088764775,24977.364721462392,23341.364240447867,26755.767937081684,3414.403696633817,True,MSE,4673816038.135477,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9683545472139681
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,ppi_plus_plus_v1,PPI++V1,0.975,25048.566088764775,24977.364721462392,23096.220581616235,27000.911595913316,3904.691014297081,True,MSE,4673816038.135477,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9683545472139684
